ts,DE_load_actual_entsoe_transparency,DE_wind_generation_actual,DE_wind_onshore_generation_actual,DE_wind_offshore_generation_actual,DE_solar_generation_actual,DE_price_day_ahead,DE_renew_generation_actual,DE_residual_load,DE_renew_share,hour,dayofweek,month,is_weekend,load_lag_24h,price_lag_24h,load_diff_24h,price_diff_24h,price_diff_1h
2017-12-30,48391.416666666664,30051.875,27048.125,3003.75,311.0416666666667,11.916666666666666,30362.916666666668,18028.5,0.6269268762059704,11.5,5,12,1,51915.583333333336,24.583333333333332,-3524.1666666666665,-12.666666666666666,-1.5
2017-12-31,44241.375,30048.833333333332,26531.25,3517.5833333333335,832.4583333333334,-11.958333333333334,30881.291666666668,13360.083333333334,0.695993538166294,11.5,6,12,1,48391.416666666664,11.916666666666666,-4150.041666666667,-23.875,0.125
2018-01-01,44307.0,28337.291666666668,25226.125,3111.2083333333335,1228.5833333333333,-8.666666666666666,29565.875,14741.125,0.6836134974010094,11.5,0,1,0,44241.375,-11.958333333333334,65.625,3.2916666666666665,1.375
2018-01-02,56791.166666666664,19699.916666666668,16933.458333333332,2766.5,680.2916666666666,30.708333333333332,20380.208333333332,36410.958333333336,0.3694348435504949,11.5,1,1,0,44307.0,-8.666666666666666,12484.166666666666,39.375,-0.25
2018-01-03,61558.375,39078.416666666664,35276.041666666664,3802.5,545.9583333333334,10.125,39624.375,21934.0,0.6546606613003974,11.5,2,1,0,56791.166666666664,30.708333333333332,4767.208333333333,-20.583333333333332,-1.1666666666666667
2018-01-04,61141.958333333336,24638.125,23086.25,1551.875,385.9583333333333,25.541666666666668,25024.083333333332,36117.875,0.4336796981803365,11.5,3,1,0,61558.375,10.125,-416.4166666666667,15.416666666666666,1.0
2018-01-05,59835.583333333336,21941.375,20910.208333333332,1031.1666666666667,765.875,30.708333333333332,22707.25,37128.333333333336,0.3960480980629009,11.5,4,1,0,61141.958333333336,25.541666666666668,-1306.375,5.166666666666667,0.9166666666666666
2018-01-06,51077.666666666664,8495.666666666666,7169.0,1326.5833333333333,1214.7916666666667,34.875,9710.458333333334,41367.208333333336,0.19694490624066185,11.5,5,1,1,59835.583333333336,30.708333333333332,-8757.916666666666,4.166666666666667,-0.125
2018-01-07,49297.291666666664,16228.333333333334,14882.833333333334,1345.7083333333333,708.3333333333334,23.625,16936.666666666668,32360.625,0.3467241965301531,11.5,6,1,1,51077.666666666664,34.875,-1780.375,-11.25,-0.08333333333333333
2018-01-08,63485.333333333336,23211.416666666668,20502.958333333332,2708.4166666666665,1265.5,34.25,24476.916666666668,39008.416666666664,0.3895186403353488,11.5,0,1,0,49297.291666666664,23.625,14188.041666666666,10.625,-0.5
2018-01-09,64599.166666666664,21628.375,18387.208333333332,3241.375,1227.2083333333333,33.0,22855.583333333332,41743.583333333336,0.36275503080271104,11.5,1,1,0,63485.333333333336,34.25,1113.8333333333333,-1.25,0.6666666666666666
2018-01-10,62439.041666666664,6171.916666666667,5132.458333333333,1039.375,1576.1666666666667,43.583333333333336,7748.083333333333,54690.958333333336,0.12576444155323738,11.5,2,1,0,64599.166666666664,33.0,-2160.125,10.583333333333334,0.3333333333333333
2018-01-11,62770.208333333336,1491.0,1026.2916666666667,464.625,875.7083333333334,46.875,2366.7083333333335,60403.5,0.03718010452992816,11.5,3,1,0,62439.041666666664,43.583333333333336,331.1666666666667,3.2916666666666665,0.041666666666666664
2018-01-12,62106.458333333336,5526.125,3381.0833333333335,2145.0,458.7916666666667,43.416666666666664,5984.916666666667,56121.541666666664,0.0958336162880587,11.5,4,1,0,62770.208333333336,46.875,-663.75,-3.4583333333333335,-0.041666666666666664
2018-01-13,54295.583333333336,14012.333333333334,10930.791666666666,3081.5416666666665,476.2916666666667,35.208333333333336,14488.625,39806.958333333336,0.26512769469639097,11.5,5,1,1,62106.458333333336,43.416666666666664,-7810.875,-8.208333333333334,-0.375
2018-01-14,50668.541666666664,16535.875,13287.416666666666,3248.5,1385.25,30.166666666666668,17921.125,32747.416666666668,0.35679665901619834,11.5,6,1,1,54295.583333333336,35.208333333333336,-3627.0416666666665,-5.041666666666667,-0.041666666666666664
2018-01-15,65210.541666666664,30951.125,27379.75,3571.4166666666665,1261.625,28.458333333333332,32212.75,32997.791666666664,0.4939244989281182,11.5,0,1,0,50668.541666666664,30.166666666666668,14542.0,-1.7083333333333333,-1.3333333333333333
2018-01-16,66335.58333333333,28052.541666666668,24312.708333333332,3739.9166666666665,772.7083333333334,27.208333333333332,28825.25,37510.333333333336,0.4472867760803377,11.5,1,1,0,65210.541666666664,28.458333333333332,1125.0416666666667,-1.25,1.0416666666666667
2018-01-17,66813.91666666667,27547.958333333332,24070.125,3477.9583333333335,785.9166666666666,28.166666666666668,28333.875,38480.041666666664,0.42551756250095946,11.5,2,1,0,66335.58333333333,27.208333333333332,478.3333333333333,0.9583333333333334,-0.125
2018-01-18,66506.29166666667,28509.791666666668,25910.791666666668,2598.9583333333335,658.7916666666666,31.416666666666668,29168.583333333332,37337.708333333336,0.4401003883237042,11.5,3,1,0,66813.91666666667,28.166666666666668,-307.625,3.25,0.5
2018-01-19,63242.958333333336,12402.291666666666,10892.583333333334,1509.75,1105.6666666666667,39.166666666666664,13507.958333333334,49735.0,0.2154864219624877,11.5,4,1,0,66506.29166666667,31.416666666666668,-3263.3333333333335,7.75,0.16666666666666666
2018-01-20,54638.458333333336,8554.875,7073.208333333333,1481.75,625.5416666666666,35.083333333333336,9180.416666666666,45458.041666666664,0.17187598945676275,11.5,5,1,1,63242.958333333336,39.166666666666664,-8604.5,-4.083333333333333,-0.08333333333333333
2018-01-21,50330.125,4545.333333333333,3697.0833333333335,848.2083333333334,762.375,32.75,5307.708333333333,45022.416666666664,0.10686821389559781,11.5,6,1,1,54638.458333333336,35.083333333333336,-4308.333333333333,-2.3333333333333335,-0.041666666666666664
2018-01-22,63074.25,13080.958333333334,10672.291666666666,2408.6666666666665,402.4583333333333,35.666666666666664,13483.416666666666,49590.833333333336,0.2196939387652632,11.5,0,1,0,50330.125,32.75,12744.125,2.9166666666666665,0.20833333333333334
2018-01-23,64290.416666666664,16438.291666666668,13881.166666666666,2557.0833333333335,790.8333333333334,36.583333333333336,17229.125,47061.291666666664,0.2693369770297961,11.5,1,1,0,63074.25,35.666666666666664,1216.1666666666667,0.9166666666666666,-0.7916666666666666
2018-01-24,64896.625,31748.791666666668,27607.541666666668,4141.333333333333,1709.3333333333333,24.375,33458.125,31438.5,0.5213339491055266,11.5,2,1,0,64290.416666666664,36.583333333333336,606.2083333333334,-12.208333333333334,-0.25
2018-01-25,63510.041666666664,16429.0,12844.041666666666,3584.9166666666665,1256.5,35.041666666666664,17685.5,45824.541666666664,0.2910162445879822,11.5,3,1,0,64896.625,24.375,-1386.5833333333333,10.666666666666666,1.0416666666666667
2018-01-26,61582.625,2112.125,1809.8333333333333,302.375,1152.0833333333333,42.75,3264.2083333333335,58318.416666666664,0.0543304703141533,11.5,4,1,0,63510.041666666664,35.041666666666664,-1927.4166666666667,7.708333333333333,0.125
2018-01-27,53381.208333333336,13101.208333333334,10553.541666666666,2547.5833333333335,1064.9166666666667,28.666666666666668,14166.125,39215.083333333336,0.26241768953232963,11.5,5,1,1,61582.625,42.75,-8201.416666666666,-14.083333333333334,-1.875
2018-01-28,50162.458333333336,35041.75,31321.791666666668,3720.0,924.875,0.041666666666666664,35966.625,14195.833333333334,0.7259334751969128,11.5,6,1,1,53381.208333333336,28.666666666666668,-3218.75,-28.625,0.375
2018-01-29,63575.5,37484.666666666664,33723.5,3761.0833333333335,989.125,19.583333333333332,38473.791666666664,25101.708333333332,0.6175630729612303,11.5,0,1,0,50162.458333333336,0.041666666666666664,13413.041666666666,19.541666666666668,0.4583333333333333
2018-01-30,64000.166666666664,19488.208333333332,16014.375,3473.8333333333335,2077.3333333333335,34.833333333333336,21565.541666666668,42434.625,0.34757371735500553,11.5,1,1,0,63575.5,19.583333333333332,424.6666666666667,15.25,0.875
